PR_ID,Repository,Author,Author_Team,Created_Date,Month,Status,Human_Comment_Count,Hours_to_Merge,Lead_Reviewer,Reviewer_Team,Reviewer_Response_Hours
1064,core-api,Bob,Team Alpha,2026-04-09,April 2026,Completed,1,89.79,Frank,Team Alpha,39.35
1065,infra-pipeline,Bob,Team Alpha,2026-04-04,April 2026,Active,0,N/A,Judy,Team Gamma,45.67
1066,web-frontend,Bob,Team Alpha,2026-05-24,May 2026,Active,8,N/A,Frank,Team Alpha,44.46
1067,infra-pipeline,David,Team Beta,2026-05-10,May 2026,Abandoned,7,N/A,N/A,N/A,N/A
1068,infra-pipeline,David,Team Beta,2026-05-15,May 2026,Active,0,N/A,Heidi,Team Beta,32.84
1069,infra-pipeline,Eve,Team Gamma,2026-04-08,April 2026,Completed,3,76.74,Judy,Team Gamma,21.76
1070,core-api,Charlie,Team Beta,2026-04-22,April 2026,Abandoned,14,N/A,Grace,Team Alpha,18.96
1071,infra-pipeline,David,Team Beta,2026-04-06,April 2026,Active,9,N/A,Grace,Team Alpha,38.84
1072,web-frontend,David,Team Beta,2026-04-15,April 2026,Completed,2,63.42,Grace,Team Alpha,36.91
1073,web-frontend,Alice,Team Alpha,2026-05-06,May 2026,Abandoned,14,N/A,Heidi,Team Beta,2.91
1074,infra-pipeline,Eve,Team Gamma,2026-04-01,April 2026,Completed,12,41.39,Heidi,Team Beta,32.89
1075,web-frontend,Bob,Team Alpha,2026-04-15,April 2026,Completed,14,88.82,Frank,Team Alpha,46.39
1076,core-api,Charlie,Team Beta,2026-04-28,April 2026,Abandoned,5,N/A,Judy,Team Gamma,33.34
1077,core-api,Charlie,Team Beta,2026-05-22,May 2026,Completed,4,58.58,Judy,Team Gamma,20.21
1078,core-api,Alice,Team Alpha,2026-05-02,May 2026,Abandoned,14,N/A,Grace,Team Alpha,9.25
1079,infra-pipeline,David,Team Beta,2026-04-16,April 2026,Abandoned,5,N/A,Judy,Team Gamma,10.16
1080,core-api,Bob,Team Alpha,2026-05-14,May 2026,Abandoned,12,N/A,Heidi,Team Beta,14.39
